time_sec,clients,run,cpu_usr,cpu_sys,cpu_idle
511,1,3,100.00,0.00,0.00
513,1,3,%usr,%sys,%idle
514,1,3,100.00,0.00,0.00
516,1,3,%usr,%sys,%idle
517,1,3,100.00,0.00,0.00
519,1,3,%usr,%sys,%idle
520,1,3,100.00,0.00,0.00
522,1,3,%usr,%sys,%idle
523,1,3,100.00,0.00,0.00
525,1,3,%usr,%sys,%idle
526,1,3,100.00,0.00,0.00
528,1,3,%usr,%sys,%idle
529,1,3,100.00,0.00,0.00
531,1,3,%usr,%sys,%idle
532,1,3,100.00,0.00,0.00
534,1,3,%usr,%sys,%idle
535,1,3,100.00,0.00,0.00
537,1,3,%usr,%sys,%idle
538,1,3,100.00,0.00,0.00
539,2,1,%usr,%sys,%idle
540,2,1,93.00,0.00,7.00
542,2,1,%usr,%sys,%idle
543,2,1,100.00,0.00,0.00
545,2,1,%usr,%sys,%idle
546,2,1,100.00,0.00,0.00
548,2,1,%usr,%sys,%idle
549,2,1,100.00,0.00,0.00
551,2,1,%usr,%sys,%idle
552,2,1,100.00,0.00,0.00
554,2,1,%usr,%sys,%idle
555,2,1,100.00,0.00,0.00
557,2,1,%usr,%sys,%idle
558,2,1,100.00,0.00,0.00
560,2,1,%usr,%sys,%idle
561,2,1,100.00,0.00,0.00
563,2,1,%usr,%sys,%idle
564,2,1,100.00,0.00,0.00
566,2,1,%usr,%sys,%idle
567,2,1,100.00,0.00,0.00
569,2,1,%usr,%sys,%idle
570,2,1,100.00,0.00,0.00
572,2,1,%usr,%sys,%idle
573,2,1,100.00,0.00,0.00
575,2,1,%usr,%sys,%idle
576,2,1,100.00,0.00,0.00
578,2,1,%usr,%sys,%idle
579,2,1,100.00,0.00,0.00
581,2,1,%usr,%sys,%idle
582,2,1,100.00,0.00,0.00
584,2,1,%usr,%sys,%idle
585,2,1,100.00,0.00,0.00
587,2,1,%usr,%sys,%idle
588,2,1,100.00,0.00,0.00
590,2,1,%usr,%sys,%idle
591,2,1,100.00,0.00,0.00
593,2,1,%usr,%sys,%idle
594,2,1,100.00,0.00,0.00
596,2,1,%usr,%sys,%idle
597,2,1,100.00,0.00,0.00
599,2,1,%usr,%sys,%idle
600,2,1,100.00,0.00,0.00
602,2,1,%usr,%sys,%idle
603,2,1,100.00,0.00,0.00
605,2,1,%usr,%sys,%idle
606,2,1,100.00,0.00,0.00
608,2,1,%usr,%sys,%idle
609,2,1,100.00,0.00,0.00
611,2,1,%usr,%sys,%idle
612,2,1,100.00,0.00,0.00
614,2,1,%usr,%sys,%idle
615,2,1,100.00,0.00,0.00
617,2,1,%usr,%sys,%idle
618,2,1,100.00,0.00,0.00
620,2,1,%usr,%sys,%idle
621,2,1,100.00,0.00,0.00
623,2,1,%usr,%sys,%idle
624,2,1,100.00,0.00,0.00
626,2,1,%usr,%sys,%idle
627,2,1,100.00,0.00,0.00
629,2,1,%usr,%sys,%idle
630,2,1,100.00,0.00,0.00
632,2,1,%usr,%sys,%idle
633,2,1,100.00,0.00,0.00
635,2,1,%usr,%sys,%idle
636,2,1,100.00,0.00,0.00
638,2,1,%usr,%sys,%idle
639,2,1,100.00,0.00,0.00
641,2,1,%usr,%sys,%idle
642,2,1,100.00,0.00,0.00
644,2,1,%usr,%sys,%idle
645,2,1,100.00,0.00,0.00
647,2,1,%usr,%sys,%idle
648,2,1,100.00,0.00,0.00
650,2,1,%usr,%sys,%idle
651,2,1,100.00,0.00,0.00
653,2,1,%usr,%sys,%idle
654,2,1,100.00,0.00,0.00
656,2,1,%usr,%sys,%idle
657,2,1,100.00,0.00,0.00
659,2,1,%usr,%sys,%idle
660,2,1,100.00,0.00,0.00
662,2,1,%usr,%sys,%idle
663,2,1,100.00,0.00,0.00
665,2,1,%usr,%sys,%idle
666,2,1,100.00,0.00,0.00
668,2,1,%usr,%sys,%idle
669,2,1,100.00,0.00,0.00
671,2,1,%usr,%sys,%idle
672,2,1,100.00,0.00,0.00
674,2,1,%usr,%sys,%idle
675,2,1,100.00,0.00,0.00
677,2,1,%usr,%sys,%idle
678,2,1,100.00,0.00,0.00
680,2,1,%usr,%sys,%idle
681,2,1,100.00,0.00,0.00
683,2,1,%usr,%sys,%idle
684,2,1,100.00,0.00,0.00
686,2,1,%usr,%sys,%idle
687,2,1,100.00,0.00,0.00
689,2,1,%usr,%sys,%idle
690,2,1,100.00,0.00,0.00
692,2,1,%usr,%sys,%idle
693,2,1,100.00,0.00,0.00
695,2,1,%usr,%sys,%idle
696,2,1,100.00,0.00,0.00
698,2,1,%usr,%sys,%idle
699,2,1,100.00,0.00,0.00
701,2,1,%usr,%sys,%idle
702,2,1,100.00,0.00,0.00
704,2,1,%usr,%sys,%idle
705,2,1,100.00,0.00,0.00
707,2,1,%usr,%sys,%idle
708,2,1,100.00,0.00,0.00
710,2,1,%usr,%sys,%idle
711,2,1,100.00,0.00,0.00
713,2,1,%usr,%sys,%idle
714,2,1,100.00,0.00,0.00
716,2,1,%usr,%sys,%idle
717,2,1,100.00,0.00,0.00
718,2,2,%usr,%sys,%idle
719,2,2,93.00,0.00,7.00
721,2,2,%usr,%sys,%idle
722,2,2,100.00,0.00,0.00
724,2,2,%usr,%sys,%idle
725,2,2,100.00,0.00,0.00
727,2,2,%usr,%sys,%idle
728,2,2,100.00,0.00,0.00
730,2,2,%usr,%sys,%idle
731,2,2,100.00,0.00,0.00
733,2,2,%usr,%sys,%idle
734,2,2,100.00,0.00,0.00
736,2,2,%usr,%sys,%idle
737,2,2,100.00,0.00,0.00
739,2,2,%usr,%sys,%idle
740,2,2,100.00,0.00,0.00
742,2,2,%usr,%sys,%idle
743,2,2,100.00,0.00,0.00
745,2,2,%usr,%sys,%idle
746,2,2,100.00,0.00,0.00
748,2,2,%usr,%sys,%idle
749,2,2,100.00,0.00,0.00
751,2,2,%usr,%sys,%idle
752,2,2,100.00,0.00,0.00
754,2,2,%usr,%sys,%idle
755,2,2,100.00,0.00,0.00
757,2,2,%usr,%sys,%idle
758,2,2,100.00,0.00,0.00
760,2,2,%usr,%sys,%idle
761,2,2,100.00,0.00,0.00
763,2,2,%usr,%sys,%idle
764,2,2,100.00,0.00,0.00
766,2,2,%usr,%sys,%idle
767,2,2,100.00,0.00,0.00
769,2,2,%usr,%sys,%idle
770,2,2,100.00,0.00,0.00
772,2,2,%usr,%sys,%idle
773,2,2,100.00,0.00,0.00
775,2,2,%usr,%sys,%idle
776,2,2,100.00,0.00,0.00
778,2,2,%usr,%sys,%idle
779,2,2,100.00,0.00,0.00
781,2,2,%usr,%sys,%idle
782,2,2,100.00,0.00,0.00
784,2,2,%usr,%sys,%idle
785,2,2,100.00,0.00,0.00
787,2,2,%usr,%sys,%idle
788,2,2,100.00,0.00,0.00
790,2,2,%usr,%sys,%idle
791,2,2,100.00,0.00,0.00
793,2,2,%usr,%sys,%idle
794,2,2,100.00,0.00,0.00
796,2,2,%usr,%sys,%idle
797,2,2,100.00,0.00,0.00
799,2,2,%usr,%sys,%idle
800,2,2,100.00,0.00,0.00
802,2,2,%usr,%sys,%idle
803,2,2,100.00,0.00,0.00
805,2,2,%usr,%sys,%idle
806,2,2,100.00,0.00,0.00
808,2,2,%usr,%sys,%idle
809,2,2,100.00,0.00,0.00
811,2,2,%usr,%sys,%idle
812,2,2,100.00,0.00,0.00
814,2,2,%usr,%sys,%idle
815,2,2,100.00,0.00,0.00
817,2,2,%usr,%sys,%idle
818,2,2,100.00,0.00,0.00
820,2,2,%usr,%sys,%idle
821,2,2,100.00,0.00,0.00
823,2,2,%usr,%sys,%idle
824,2,2,100.00,0.00,0.00
