time_sec,clients,run,throughput
24,16,3,9024040
25,16,3,9014383
26,16,3,9021424
27,16,3,9019180
28,16,3,9026016
29,16,3,9015308
30,16,3,9014842
31,16,3,9017032
32,16,3,9022926
33,16,3,9021131
34,16,3,9021172
35,16,3,9016431
36,16,3,9018144
37,16,3,9019595
38,16,3,9027190
39,16,3,9030094
40,16,3,9030634
41,16,3,9024326
42,16,3,9031305
43,16,3,9011737
44,16,3,9014997
45,16,3,9020704
46,16,3,9035304
47,16,3,9022333
48,16,3,9021473
49,16,3,9021083
50,16,3,9014571
51,16,3,9018102
52,16,3,9023504
53,16,3,9010138
54,16,3,9022352
55,16,3,9025948
56,16,3,9015323
57,16,3,9010089
58,16,3,9021922
59,16,3,9022475
60,16,3,9013584
61,16,3,78128
1,32,1,8171901
2,32,1,8335776
3,32,1,8163554
4,32,1,8023011
5,32,1,7809131
6,32,1,7651779
7,32,1,7438051
8,32,1,7271840
9,32,1,7038000
10,32,1,6858436
11,32,1,6621748
12,32,1,6426015
13,32,1,6162142
14,32,1,5962869
15,32,1,5700086
16,32,1,5492938
17,32,1,4972286
18,32,1,4655282
19,32,1,4658031
20,32,1,4656315
21,32,1,4658546
22,32,1,4657054
23,32,1,4657313
24,32,1,4654269
25,32,1,4657663
26,32,1,4655391
27,32,1,4657925
28,32,1,4654272
29,32,1,4658776
30,32,1,4656245
31,32,1,4657811
32,32,1,4657308
33,32,1,4659499
34,32,1,4656768
35,32,1,4656988
36,32,1,4657088
37,32,1,4657658
38,32,1,4655072
39,32,1,4657847
40,32,1,4654816
41,32,1,4658716
42,32,1,4656959
43,32,1,4659442
44,32,1,4657184
45,32,1,4658327
46,32,1,4657179
47,32,1,4660019
48,32,1,4656480
49,32,1,4658614
50,32,1,4656479
51,32,1,4657887
52,32,1,4656032
53,32,1,4658351
54,32,1,4656160
55,32,1,4658912
56,32,1,4657632
57,32,1,4658912
58,32,1,4655520
59,32,1,4656736
60,32,1,4658266
61,32,1,34144
1,32,2,9102126
2,32,2,9012815
3,32,2,8916736
4,32,2,8797032
5,32,2,8672092
6,32,2,8540162
7,32,2,8406620
8,32,2,8238124
9,32,2,8073487
10,32,2,7892217
11,32,2,7732591
12,32,2,7550464
13,32,2,7363232
14,32,2,7153191
15,32,2,6970366
16,32,2,6748346
17,32,2,6743776
18,32,2,6744672
19,32,2,6539168
20,32,2,6292636
