clients,queue_size,run,client_id,avg_latency_ns,p50_latency_ns,p99_latency_ns
64,2,3,42,22656.7,22119.9,24178.1
64,2,3,43,21961.2,21870.8,24040.9
64,2,3,44,21725.8,21612.6,23628.1
64,2,3,45,21666.7,21647.1,23979
64,2,3,46,22170.3,22194.4,24567.2
64,2,3,47,21677.1,21721.7,23690.8
64,2,3,48,21962.2,22020.8,24343.6
64,2,3,49,21348,21357.1,23238.1
64,2,3,50,21552.6,21578,23352.7
64,2,3,51,21879,21838.1,24240
64,2,3,52,21854.9,21869.9,24010
64,2,3,53,21822.6,21865.3,24245.4
64,2,3,54,22004.4,22017.2,24027.2
64,2,3,55,21779.9,21784.4,24154.5
64,2,3,56,21730.8,21796.2,24110.9
64,2,3,57,21725.8,21846.2,23908.1
64,2,3,58,21621.7,21659,23735.4
64,2,3,59,21785.3,21813.5,24619.1
64,2,3,60,22149.4,22258.1,24185.4
64,2,3,61,21630.3,21621.7,23678.1
64,2,3,62,22049,22044.4,24147.2
64,2,3,63,21918.1,21885.3,24448.1
